2173|Dida Colombiana S.A. Dida-Col S.A|Aduanas de Bogotá|DEP PRIV TRANSF|AVENIDA ELDORADO No. 78-20|1988-09-15|2013-02-08
2174|Superpolo S.A.|Aduanas de Bogotá|DEP PRIV TRANSF|AUTOPISTA SUR No.77-31|2001-10-10|2013-07-12
2175|Incolbestos S.A.|Aduanas de Bogotá|DEP PRIV TRANSF|AVENIDA (CALLE ) 17 No.123B-49|1988-09-15|2013-09-22
2176|Servicios Industriales Tecnicos S.A.|Aduanas de Bogotá|DEP PRIV TRANSF|CALLE 22 No.127-51 INTERIOR 6|1988-09-15|2013-06-17
2177|Industrias Metalicas Asociadas Imal S.A.|Aduanas de Bogotá|DEP PRIV TRANSF|CALLE 29 BIS No.127-69|1988-09-15|2013-08-29
2178|Colombiana De Frenos S.A. Cofre|Aduanas de Bogotá|DEP PRIV TRANSF|CARRERA 126 No.29-02|1988-09-15|2013-08-14
2179|Espumlatex S.A.|Aduanas de Bogotá|DEP PRIV TRANSF|CR 96 B 19 A 60|1988-09-16|2013-09-09
2180|ANDINA TRIM S A|Aduanas de Bogotá|DEP PRIV TRANSF|TRANSVERSAL 49 No. 11-50|1991-11-19|2014-06-04
2186|INDUSTRIA DE EJES Y TRANSMISIONES S.A.|Impuestos y Aduanas de Bucaramanga|DEP PRIV|ZONA INDUSTRIAL DE GIRON KILOMETRO 7|2005-12-28|2016-08-03
2187|TRANSEJES TRANSMISIONES HOMOCINETICAS DE COLOMBIA S.A.|Impuestos y Aduanas de Bucaramanga|DEP PRIV TRANSF|ZONA INDUSTRIAL DE GIRON|1991-11-19|2013-01-03
2188|INDUSTRIAS DEL MAIZ S.A. CORN PRODUCTS ANDINA|Aduanas de Cali|DEP PRIV|CRA. 5 No 52-56|1991-11-19|2012-11-08
2189|COLGATE PALMOLIVE COMPAÑIA|Aduanas de Cali|DEP PRIV|CALLE 39 No 1-35|1991-11-19|2013-01-14
2190|CENTRO INTERNACIONAL DE AGRICULTURA TROPICAL|Aduanas de Cali|DEP PRIV|KM. 17 RECTA CALI -PALMIRA |2005-09-27|2015-10-12
2191|ITALCOL DE OCCIDENTE LTDA|Aduanas de Cali|DEP PRIV|KM. 11 RECTA PALMIRA -CALI |2006-01-03|2015-10-22
2193|FABRICA NACIONAL DE AUTOPARTES S.A.    FANALCA S A|Aduanas de Cali|DEP PRIV|CALLE 13 No 31A-80|2007-03-26|2016-01-19
2194|CARVAJAL PULPA Y PAPEL S. A.|Aduanas de Cali|DEP PRIV|ZONA IND. YUMBO C/TERA ARROYOHONDO CALI|2006-02-14|2016-01-12
2195|CARTON DE COLOMBIA S.A.|Aduanas de Cali|DEP PRIV|CALLE 15 # 18-109 Km 15 Pto.Isaacs Yumbo|2005-11-08|2015-09-10
2197|MAC S.A|Aduanas de Cali|DEP PRIV|CARRERA 35 No 10-54|1991-11-19|9999-12-31
2199|ORGANIZACION SOLARTE Y CIA. S. C. A.|Aduanas de Cali|DEP PRIV|CALLE 15 No 27-40|1991-11-19|9999-12-31
2200|Almacenes Generales De Deposito Almaviva  S.A.|Aduanas de Cali|DEP PUBL|Cra.34 No 12-30 Callejón El Caney.Yumbo|2008-07-10|2015-04-26
2202|Almaviva S.A. Cali- Carrera 5.|Aduanas de Cali|DEP PUBL|CARRERA 5 No. 56-68/70 BARRIO SALOMIA.|2008-08-08|2013-08-08
2203|Alpopular. Sucursal Cali|Aduanas de Cali|DEP PUBL|CARRERA. 21 No.10-155 ACOPI YUMBO|2007-01-15|2017-04-24
2206|Consimex. S.A. Cali Carrera 1g Salomia|Aduanas de Cali|DEP PUBL|CARRERA 1G No. 47-16 SALOMIA|2007-05-28|2017-06-27
2207|Snider & Cia S.A. Cali Acopi|Aduanas de Cali|DEP PUBL|CALLE 14 No. 37-05 URBANIZACION ACOPI|2007-08-06|2017-08-02
2208|Almacenes Generales De Deposito Mercantil S.A. Almacenar|Aduanas de Cali|DEP PUBL|CALLE 39 No. 3N-79|2007-04-19|2015-03-01
2210|CENTRO DE MECANIZADOS DEL CAUCA S.A.|Aduanas de Cali|DEP PRIV PROC I|Via Pto Tejada- Candelaria|1991-11-19|2014-08-12
2212|ABE CARGO EXPRESS LTDA|Aduanas de Cali|TRAFICO POSTAL|Calle 56 No. 5N - 65, Bod 5. |1991-11-19|9999-12-31
2213|LARS COURRIER SA|Aduanas de Cali|TRAFICO POSTAL|Calle 26 Norte No. 2Bis-51. |1991-11-19|9999-12-31
2215|ENCARGO EXPRESS LTDA|Aduanas de Cali|TRAFICO POSTAL|Calle 3N No. 35 N -25|1991-11-19|9999-12-31
